Number,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016
85,BMW,BMW 1 SERIES,8_1,20764,23624,22628,27044,28879
86,BMW,BMW 2 SERIES,8_2,9408,14842,18884,15426,19046
87,BMW,BMW 3 SERIES,8_5,19985,25262,25391,30716,32119
88,BMW,BMW 4 SERIES,8_7,4540,10539,15716,17039,18612
89,BMW,BMW 5 SERIES,8_9,8801,15789,19961,15263,15781
90,BMW,BMW 6 SERIES,8_11,227,1035,2288,1296,1834
91,BMW,BMW 7 SERIES,8_14,888,1458,1374,1500,1518
92,BMW,BMW 8 SERIES,8_49,1864,1209,219,0,0
93,BMW,BMW I3,8_27,4204,4596,3491,3056,2131
94,BMW,BMW I8,8_28,80,248,389,232,447
95,BMW,BMW M1,8_48,3350,3921,3998,4477,2724
96,BMW,BMW M2,8_29,2636,2604,3010,2807,2358
97,BMW,BMW M3,8_30,1583,561,855,952,777
98,BMW,BMW M4,8_31,1141,1798,2123,1925,1709
99,BMW,BMW M5,8_32,393,611,140,22,404
100,BMW,BMW M6,8_33,0,0,57,135,200
101,BMW,BMW X1,8_35,7396,13529,14626,13353,12247
102,BMW,BMW X2,8_36,3420,6918,4880,0,0
103,BMW,BMW X3,8_37,7438,15773,8197,7931,8903
104,BMW,BMW X4,8_38,1830,3998,2064,2136,2690
105,BMW,BMW X5,8_39,5345,9055,7443,6345,6734
106,BMW,BMW X6,8_41,1077,643,2114,1338,1794
107,BMW,BMW X7,8_50,664,523,0,0,0
108,BMW,BMW Z3,8_43,0,0,0,0,0
109,BMW,BMW Z4,8_45,1428,1928,0,134,1197
110,BMW,BMW Z8,8_47,0,0,0,0,0
111,BRISTOL,BRISTOL FIGHTER,11_1,0,0,0,0,0
112,CADILLAC,CADILLAC BLS,14_1,0,0,0,0,0
113,CADILLAC,CADILLAC CTS,14_2,0,1,0,0,1
114,CADILLAC,CADILLAC ESCALADE,14_3,0,1,5,3,6
115,CADILLAC,CADILLAC STS,14_5,0,0,0,0,0
116,CHEVROLET,CHEVROLET AVEO,16_2,0,0,0,0,0
117,CHEVROLET,CHEVROLET CAMARO,16_4,0,29,21,28,4
118,CHEVROLET,CHEVROLET CAPTIVA,16_5,0,0,1,0,0
119,CHEVROLET,CHEVROLET CORVETTE,16_6,0,14,12,18,3
120,CHEVROLET,CHEVROLET CRUZE,16_7,0,0,0,0,0
121,CHEVROLET,CHEVROLET EPICA,16_8,0,0,0,0,0
122,CHEVROLET,CHEVROLET KALOS,16_10,0,0,0,0,0
123,CHEVROLET,CHEVROLET LACETTI,16_11,0,0,0,0,0
124,CHEVROLET,CHEVROLET MATIZ,16_12,0,0,0,0,0
125,CHEVROLET,CHEVROLET ORLANDO,16_13,0,0,0,0,0
126,CHEVROLET,CHEVROLET SPARK,16_14,0,0,0,0,0
127,CHEVROLET,CHEVROLET TACUMA,16_16,0,0,0,0,0
128,CHEVROLET,CHEVROLET TRAX,16_18,0,0,0,1,0
129,CHEVROLET,CHEVROLET VOLT,16_19,0,0,0,0,0
130,CHRYSLER,CHRYSLER 300,17_1,0,0,0,0,0
131,CHRYSLER,CHRYSLER 300C,17_1,0,0,0,0,0
132,CHRYSLER,CHRYSLER CROSSFIRE,17_2,0,0,0,0,0
133,CHRYSLER,CHRYSLER DELTA,17_3,0,0,0,0,0
134,CHRYSLER,CHRYSLER GRAND VOYAGER,17_4,0,0,0,0,0
135,CHRYSLER,CHRYSLER NEON,17_5,0,0,0,0,0
136,CHRYSLER,CHRYSLER PT CRUISER,17_7,0,0,0,0,0
137,CHRYSLER,CHRYSLER SEBRING,17_8,0,0,0,0,0
138,CHRYSLER,CHRYSLER VOYAGER,17_9,1,0,0,0,0
139,CHRYSLER,CHRYSLER YPSILON,17_10,0,0,0,0,0
140,CITROEN,CITROEN BERLINGO,18_2,1701,3485,2393,2173,3224
141,CITROEN,CITROEN C1,18_6,3734,5272,6950,8700,18096
142,CITROEN,CITROEN C2,18_7,0,0,0,0,0
143,CITROEN,CITROEN C3,18_8,12166,22544,24099,19398,11003
144,CITROEN,CITROEN C4,18_12,3524,8814,12323,15888,25948
145,CITROEN,CITROEN C5,18_15,5086,6499,22,0,103
146,CITROEN,CITROEN C6,18_16,0,0,0,0,0
147,CITROEN,CITROEN C8,18_17,0,0,0,0,0
148,CITROEN,CITROEN C-CROSSER,18_4,0,0,0,0,0
149,CITROEN,CITROEN C-ZERO,18_5,0,1,0,6,22
150,CITROEN,CITROEN DISPATCH,18_18,1,93,22,86,112
151,CITROEN,CITROEN DS3,21_1,0,0,0,0,18
152,CITROEN,CITROEN DS4,21_3,0,0,1,0,11
153,CITROEN,CITROEN DS5,21_5,0,0,0,0,0
154,CITROEN,CITROEN NEMO,18_25,0,0,0,0,0
155,CITROEN,CITROEN SAXO,18_26,0,0,0,0,0
156,CITROEN,CITROEN SPACETOURER,18_27,229,717,895,419,33
157,CITROEN,CITROEN SYNERGIE,18_28,0,0,0,0,0
158,CITROEN,CITROEN XANTIA,18_31,0,0,1,0,0
159,CITROEN,CITROEN XSARA,18_29,0,0,0,0,0
160,CORVETTE,CORVETTE C6,19_1,0,0,0,0,0
161,DACIA,DACIA DUSTER,22_1,8264,14571,8538,6276,7097
162,DACIA,DACIA LOGAN,22_2,794,2284,1783,2271,2824
163,DACIA,DACIA SANDERO,22_3,9344,12748,12542,14937,15091
164,DAEWOO,DAEWOO KALOS,23_1,0,0,0,0,0
165,DAEWOO,DAEWOO LACETTI,23_2,0,0,0,0,0
166,DAEWOO,DAEWOO LANOS,23_6,0,0,0,0,0
167,DAEWOO,DAEWOO LEGANZA,23_7,0,0,0,0,0
168,DAEWOO,DAEWOO MATIZ,23_3,0,0,0,0,0
169,DAEWOO,DAEWOO MUSSO,23_8,0,0,0,0,0
170,DAEWOO,DAEWOO NUBIRA,23_4,0,0,0,0,0
171,DAEWOO,DAEWOO TACUMA,23_5,0,0,0,0,0
172,DAIHATSU,DAIHATSU CHARADE,24_2,0,0,0,0,0
173,DAIHATSU,DAIHATSU COPEN,24_3,0,0,0,0,0
174,DAIHATSU,DAIHATSU CUORE,24_4,0,0,0,0,0
175,DAIHATSU,DAIHATSU FOURTRAK,24_5,0,0,0,0,0
176,DAIHATSU,DAIHATSU MATERIA,24_6,0,0,0,0,0
177,DAIHATSU,DAIHATSU SIRION,24_7,0,0,0,0,0
178,DAIHATSU,DAIHATSU TERIOS,24_8,0,0,0,0,0
179,DAIHATSU,DAIHATSU YRV,24_9,0,0,0,0,0
180,DODGE,DODGE AVENGER,26_1,0,0,0,0,0
181,DODGE,DODGE CALIBER,26_2,0,0,0,0,0
182,DODGE,DODGE JOURNEY,26_5,1,4,4,1,0
183,DODGE,DODGE NITRO,26_6,0,0,0,0,0
184,DS,DS DS3,21_1,1738,2168,3173,6911,11872
185,DS,DS DS4,21_3,0,2,386,990,2355
186,DS,DS DS5,21_5,0,5,122,272,574
187,DS,DS DS7,21_6,581,1457,913,5,0
188,FERRARI,FERRARI 360,27_2,0,0,0,0,0
189,FERRARI,FERRARI 430,27_3,0,0,0,0,0
190,FERRARI,FERRARI 458,27_6,0,0,1,1,5
191,FERRARI,FERRARI 488,27_7,261,274,387,356,236
192,FERRARI,FERRARI 575M,27_9,0,0,0,0,0
193,FERRARI,FERRARI 599,27_10,0,0,0,0,0
194,FERRARI,FERRARI 612,27_11,0,0,0,0,0
195,FERRARI,FERRARI CALIFORNIA,27_13,0,0,8,123,206
196,FERRARI,FERRARI F430,27_18,0,0,0,0,0
197,FERRARI,FERRARI FF,27_19,0,0,0,0,18
198,FERRARI,FERRARI LAFERRARI,27_21,0,1,1,5,7
199,FERRARI,FERRARI PORTOFINO,27_23,207,275,91,0,0
200,FIAT,FIAT 124,28_1,0,15,1231,776,625
201,FIAT,FIAT 500,28_2,13198,20425,24220,28129,47643
202,FIAT,FIAT 500L,28_4,217,417,674,195,2
203,FIAT,FIAT 500X,28_5,2074,3479,1728,255,0
204,FIAT,FIAT 850,28_6,0,0,0,0,0
205,FIAT,FIAT BARCHETTA,28_8,0,0,0,0,0
206,FIAT,FIAT BRAVA,28_9,0,0,0,0,0
207,FIAT,FIAT BRAVO,28_10,0,0,0,0,0
208,FIAT,FIAT CROMA,28_11,0,0,0,0,0
209,FIAT,FIAT DOBLO,28_12,146,236,411,530,739
210,FIAT,FIAT FIORINO,28_13,25,2,2,6,3
211,FIAT,FIAT IDEA,28_16,0,0,0,0,0
212,FIAT,FIAT MAREA,28_30,0,0,0,0,0
213,FIAT,FIAT MULTIPLA,28_17,0,0,0,0,0
214,FIAT,FIAT PANDA,28_18,1723,2537,2623,3445,4779
215,FIAT,FIAT PUNTO,28_19,0,0,311,1212,1711
216,FIAT,FIAT QUBO,28_21,38,104,114,192,161
217,FIAT,FIAT SCUDO,28_22,0,0,0,0,10
218,FIAT,FIAT SEDICI,28_23,0,0,0,0,0
219,FIAT,FIAT SEICENTO,28_24,0,0,0,0,0
220,FIAT,FIAT STILO,28_26,0,0,0,0,0
221,FIAT,FIAT TALENTO,28_27,89,13,52,130,7
222,FIAT,FIAT TIPO,28_28,1005,1601,1935,5949,1134
223,FIAT,FIAT ULYSSE,28_29,0,0,0,0,0
224,FORD,FORD B-MAX,29_1,0,0,662,5232,7154
225,FORD,FORD C-MAX,29_2,0,2583,4753,7330,10640
226,FORD,FORD COUGAR,29_3,0,0,0,0,0
227,FORD,FORD ECOSPORT,29_4,8895,24639,21921,13027,14555
228,FORD,FORD EDGE,29_5,1,990,1589,3856,2305
229,FORD,FORD ESCORT,29_7,0,0,2,0,3
230,FORD,FORD EXPLORER,29_9,0,0,0,1,0
231,FORD,FORD F150,29_11,0,0,0,0,0
232,FORD,FORD FIESTA,29_13,46739,74500,89564,87409,113568
233,FORD,FORD FOCUS,29_14,37738,53901,47374,63283,64870
234,FORD,FORD FREEDOM,29_40,142,85,250,492,325
235,FORD,FORD FUSION,29_18,0,1,1,1,0
236,FORD,FORD GALAXY,29_19,1589,2245,2901,4274,4480
237,FORD,FORD GRAND C-MAX,29_20,0,1058,2738,3631,6592
238,FORD,FORD GT,29_22,0,0,8,0,0
239,FORD,FORD INDEPENDENCE,29_41,1041,1089,738,351,1
240,FORD,FORD KA,29_23,0,0,0,2,5499
241,FORD,FORD KA+,29_24,7,10044,10768,13116,2760
242,FORD,FORD KUGA,29_25,15403,39672,38265,35323,33839
243,FORD,FORD MAVERICK,29_26,0,0,0,0,0
244,FORD,FORD MONDEO,29_27,1871,3836,7115,11345,16291
245,FORD,FORD MONDEO TITANIUM,29_27,448,636,222,3,0
246,FORD,FORD MUSTANG,29_28,1043,1198,2028,1807,2367
247,FORD,FORD PUMA,29_29,25750,180,0,0,0
248,FORD,FORD RANGER,29_30,0,1,7,1,0
249,FORD,FORD S-MAX,29_31,1169,2141,2416,5176,6968
250,FORD,FORD STREETKA,29_32,0,0,0,0,0
251,FORD,FORD TOURNEO CONNECT,29_34,2054,1874,1120,1790,2295
252,FORD,FORD TOURNEO COURIER,29_39,291,1130,8,0,0
253,FORD,FORD TOURNEO CUSTOM,29_35,2697,3097,3333,2600,1398
254,FORD,FORD TRANSIT CONNECT,29_36,39,225,322,174,245
255,FORD,FORD TRANSIT COURIER,29_37,16,55,24,0,8
256,FORD,FORD TRANSIT CUSTOM,29_38,232,500,202,148,96
257,HONDA,HONDA ACCORD,34_1,3,1,3,6,2
258,HONDA,HONDA CIVIC,34_2,5648,12489,13638,14311,16278
259,HONDA,HONDA CRV,34_3,0,44,8207,11754,14558
260,HONDA,HONDA CR-V,34_3,5420,7873,1389,0,1
261,HONDA,HONDA CR-Z,34_4,0,0,0,0,0
262,HONDA,HONDA FR-V,34_7,0,0,0,0,0
263,HONDA,HONDA HR-V,34_8,3586,4663,5946,5726,6839
264,HONDA,HONDA INSIGHT,34_9,0,1,0,0,0
265,HONDA,HONDA INTEGRA,34_10,0,0,0,0,0
266,HONDA,HONDA JAZZ,34_11,10537,16262,19585,17322,18273
267,HONDA,HONDA LEGEND,34_12,0,0,0,0,0
268,HONDA,HONDA NSX,34_13,4,9,11,44,7
269,HONDA,HONDA ODYSSEY,34_14,0,1,2,1,6
270,HONDA,HONDA PRELUDE,34_19,0,0,0,0,0
271,HONDA,HONDA S2000,34_16,0,0,0,0,0
272,HONDA,HONDA STEPWAGON,34_17,0,0,0,0,0
273,HONDA,HONDA STREAM,34_18,0,0,0,0,0
274,HUMMER,HUMMER H2,35_2,0,0,0,0,0
275,HUMMER,HUMMER H3,35_3,0,0,0,0,0
276,HYUNDAI,HYUNDAI ACCENT,36_1,0,0,0,0,0
277,HYUNDAI,HYUNDAI AMICA,36_2,0,0,0,0,0
278,HYUNDAI,HYUNDAI COUPE,36_3,0,0,0,0,0
279,HYUNDAI,HYUNDAI ELANTRA,36_4,0,0,0,0,0
280,HYUNDAI,HYUNDAI GENESIS,36_5,0,0,0,3,19
281,HYUNDAI,HYUNDAI GETZ,36_6,0,0,0,0,0
282,HYUNDAI,HYUNDAI GRANDEUR,36_7,0,0,0,0,0
283,HYUNDAI,HYUNDAI I10,36_8,6452,17947,20719,23664,22569
284,HYUNDAI,HYUNDAI I20,36_9,4207,7393,8877,11863,14178
285,HYUNDAI,HYUNDAI I30,36_10,1650,4281,7491,7090,10402
286,HYUNDAI,HYUNDAI I40,36_12,6,524,1324,2865,4019
287,HYUNDAI,HYUNDAI I800,36_13,79,1734,1124,1327,1014
288,HYUNDAI,HYUNDAI IONIQ,36_14,7096,8310,7263,4818,421
289,HYUNDAI,HYUNDAI IX20,36_15,119,1564,2241,3876,3779
290,HYUNDAI,HYUNDAI IX35,36_16,0,0,0,2,336
291,HYUNDAI,HYUNDAI KONA,36_17,12073,8561,6508,425,0
292,HYUNDAI,HYUNDAI LANTRA,36_4,0,0,0,0,0
293,HYUNDAI,HYUNDAI MATRIX,36_18,0,0,0,0,0
294,HYUNDAI,HYUNDAI SANTA FE,36_20,544,1182,2071,2827,4525
295,HYUNDAI,HYUNDAI SONATA,36_21,0,0,0,0,0
296,HYUNDAI,HYUNDAI TERRACAN,36_22,0,0,0,0,0
297,HYUNDAI,HYUNDAI TRAJET,36_23,0,0,0,0,0
298,HYUNDAI,HYUNDAI TUCSON,36_24,12887,25445,25419,24127,21703
299,HYUNDAI,HYUNDAI VELOSTER,36_25,0,0,0,0,0
300,INFINITI,INFINITI FX30,37_2,0,0,0,0,0
301,INFINITI,INFINITI Q30,37_5,0,208,312,2505,1764
302,INFINITI,INFINITI Q50,37_6,0,18,258,400,633
303,INFINITI,INFINITI Q60,37_7,0,3,60,89,15
304,INFINITI,INFINITI Q70,37_8,0,1,4,132,84
305,INFINITI,INFINITI QX30,37_9,0,48,85,131,53
306,INFINITI,INFINITI QX50,37_10,0,0,0,0,33
307,INFINITI,INFINITI QX70,37_11,0,0,0,10,143
308,ISUZU,ISUZU D-MAX,38_2,0,1,6,0,1
309,ISUZU,ISUZU TROOPER,38_4,0,0,0,0,0
310,JAGUAR,JAGUAR EAGLE,39_14,52,78,88,96,81
311,JAGUAR,JAGUAR E-PACE,39_1,6130,10661,10141,211,0
312,JAGUAR,JAGUAR F TYPE,39_3,643,753,1448,1968,1976
313,JAGUAR,JAGUAR F-PACE,39_2,6478,9629,10458,12179,7590
314,JAGUAR,JAGUAR F-TYPE,39_3,302,705,248,0,0
315,JAGUAR,JAGUAR I-PACE,39_13,8218,3935,708,0,0
316,JAGUAR,JAGUAR S TYPE,39_4,0,0,0,0,0
317,JAGUAR,JAGUAR X TYPE,39_5,0,0,0,0,0
318,JAGUAR,JAGUAR XE SERIES,39_6,1619,4478,5585,10692,12422
319,JAGUAR,JAGUAR XF SERIES,39_7,1292,3235,5549,7023,8709
320,JAGUAR,JAGUAR XJ SERIES,39_8,166,400,710,884,1086
321,JAGUAR,JAGUAR XK SERIES,39_9,0,0,0,0,0
322,JEEP,JEEP CHEROKEE,40_1,4,25,321,558,1487
323,JEEP,JEEP COMMANDER,40_2,0,0,0,0,0
324,JEEP,JEEP COMPASS,40_3,1652,2969,2319,18,0
325,JEEP,JEEP GRAND CHEROKEE,40_4,64,249,412,861,986
326,JEEP,JEEP PATRIOT,40_5,0,0,0,0,0
327,JEEP,JEEP RENEGADE,40_6,1898,1798,2314,3953,10422
328,JEEP,JEEP WRANGLER,40_7,755,621,365,248,257
329,KIA,KIA CARENS,43_1,0,87,1535,1764,1811
330,KIA,KIA CEED,43_2,4053,9763,8519,7692,8583
331,KIA,KIA CERATO,43_3,0,0,0,0,0
332,KIA,KIA CLARUS,43_3,1,0,0,0,0
333,KIA,KIA MAGENTIS,43_4,0,0,0,0,0
334,KIA,KIA MENTOR,43_17,0,0,0,0,0
335,KIA,KIA NIRO,43_5,18234,8932,6089,4047,1197
336,KIA,KIA OPTIMA,43_6,131,1723,2731,3267,1272
337,KIA,KIA PICANTO,43_7,8935,17372,15738,12866,12588
338,KIA,KIA PRO CEED,43_8,936,1814,519,906,1214
339,KIA,KIA RIO,43_9,3395,4854,5621,7998,8936
340,KIA,KIA SEDONA,43_10,3,0,0,0,1
341,KIA,KIA SHUMA,43_17,0,0,0,0,0
342,KIA,KIA SORENTO,43_11,1161,2724,2752,3126,3182
343,KIA,KIA SOUL,43_12,871,339,1920,1645,2129
344,KIA,KIA SPORTAGE,43_13,17323,32594,34280,35672,37482
345,KIA,KIA STINGER,43_14,4,42,0,0,0
346,KIA,KIA STONIC,43_15,4502,8099,6753,699,0
347,KIA,KIA STINGER,43_14,198,852,623,124,0
348,KIA,KIA VENGA,43_16,0,2608,3641,5478,5686
349,KIA,KIA XCEED,43_19,6370,813,0,0,0
350,LAMBORGHINI,LAMBORGHINI AVENTADOR,45_1,63,89,97,65,61
351,LAMBORGHINI,LAMBORGHINI DIABLO,45_2,0,0,0,0,0
352,LAMBORGHINI,LAMBORGHINI GALLARDO,45_3,0,0,0,0,0
353,LAMBORGHINI,LAMBORGHINI HURACAN,45_4,96,160,172,87,62
354,LAMBORGHINI,LAMBORGHINI MURCIELAGO,45_5,0,0,0,0,0
355,LAND ROVER,LAND ROVER 110,47_1,0,1,2,0,0
356,LAND ROVER,LAND ROVER DEFENDER,47_5,4296,1,0,0,2
357,LAND ROVER,LAND ROVER DISCOVERY,47_6,15762,22509,26722,33138,31681
358,LAND ROVER,LAND ROVER FREELANDER,47_11,0,0,0,0,26
359,LAND ROVER,LAND ROVER RANGE ROVER,47_13,36052,48419,45902,42860,41679
360,LEXUS,LEXUS CT 200,48_1,1245,1815,2606,2788,2827
361,LEXUS,LEXUS ES 300,48_32,1058,931,0,0,0
362,LEXUS,LEXUS GS 250,48_2,0,0,0,0,0
363,LEXUS,LEXUS GS 300,48_2,0,3,205,309,491
364,LEXUS,LEXUS GS 450,48_2,0,0,21,29,46
365,LEXUS,LEXUS GS300,48_2,0,0,0,0,4
366,LEXUS,LEXUS IS F,48_8,0,0,0,0,0
367,LEXUS,LEXUS IS200,48_8,0,0,0,17,69
368,LEXUS,LEXUS IS220,48_8,0,0,0,0,0
369,LEXUS,LEXUS IS250,48_8,0,0,0,0,0
370,LEXUS,LEXUS IS300,48_8,555,1134,1411,1427,1852
371,LEXUS,LEXUS LC 500,48_14,45,70,136,145,0
372,LEXUS,LEXUS LS430,48_15,0,0,0,0,0
373,LEXUS,LEXUS NX300,48_18,4142,4443,4486,3656,3607
374,LEXUS,LEXUS RC 300,48_21,247,385,380,394,532
375,LEXUS,LEXUS RC F,48_21,6,10,17,13,28
376,LEXUS,LEXUS RX300,48_24,0,0,0,0,0
377,LEXUS,LEXUS RX350,48_24,0,0,0,0,0
378,LEXUS,LEXUS RX400,48_24,0,0,0,0,0
379,LEXUS,LEXUS RX450,48_24,1621,1880,1554,2000,2319
380,LEXUS,LEXUS RX,48_24,341,472,386,0,0
381,LEXUS,LEXUS SC430,48_30,0,0,0,0,0
382,LEXUS,LEXUS UX 250H,48_31,3899,3336,0,0,0
383,LINCOLN,LINCOLN TOWN CAR,49_2,0,0,0,0,0
384,LOTUS,LOTUS ELISE,51_3,70,78,60,75,81
385,LOTUS,LOTUS ESPRIT,51_5,0,0,0,0,0
386,LOTUS,LOTUS EVORA,51_6,23,44,53,32,71
387,LOTUS,LOTUS EXIGE,51_7,73,72,75,74,75
388,MASERATI,MASERATI 3200,55_1,0,0,0,0,0
389,MASERATI,MASERATI COUPE,55_4,0,0,0,0,0
390,MASERATI,MASERATI GHIBLI,55_5,101,222,346,466,792
391,MASERATI,MASERATI GRAN TURISMO,55_8,2,12,0,0,2
392,MASERATI,MASERATI GRANCABRIO,55_6,14,23,39,31,52
393,MASERATI,MASERATI GRANSPORT,55_7,0,0,0,0,0
394,MASERATI,MASERATI GRANTURISMO,55_8,18,58,92,57,88
395,MASERATI,MASERATI LEVANTE,55_9,408,512,599,629,95
396,MASERATI,MASERATI QUATTROPORTE,55_10,9,39,66,70,121
397,MASERATI,MASERATI SPYDER,55_11,0,0,0,0,0
398,MAYBACH,MAYBACH 57,56_1,0,0,0,0,0
399,MAYBACH,MAYBACH 62,56_2,0,0,0,0,0
400,MAZDA,MAZDA 2,57_10,4091,8360,7936,7537,10122
401,MAZDA,MAZDA 3,57_11,4232,4276,6899,8013,10650
402,MAZDA,MAZDA 323,57_1,0,0,2,0,0
403,MAZDA,MAZDA 5,57_12,0,0,0,0,14
404,MAZDA,MAZDA 6,57_13,1025,4376,3234,4645,7113
405,MAZDA,MAZDA 626,57_2,0,0,0,0,0
406,MAZDA,MAZDA B2500,57_3,0,0,0,0,0
407,MAZDA,MAZDA CX3,57_6,2721,16161,9522,4732,4854
408,MAZDA,MAZDA CX5,57_7,2938,1411,5924,6961,7169
409,MAZDA,MAZDA CX7,57_8,0,0,0,0,0
410,MAZDA,MAZDA DEMIO,57_9,0,0,0,0,0
411,MAZDA,MAZDA MPV,57_14,0,0,0,0,0
412,MAZDA,MAZDA MX5,57_15,882,0,0,0,0
